unique(ebd_only$scientific_name)
Actitis macularius
Amazona farinosa
Cacicus cela
Cathartes melambrotus
Cephalopterus ornatus
Chelidoptera tenebrosa
Daptrius ater
Dendrocincla fuliginosa
Ibycter americanus
Icterus cayanensis
Melanerpes cruentatus
Mesembrinibis cayennensis
Psarocolius viridis
Ramphocelus carbo
Rupornis magnirostris
Sporophila angolensis
Sporophila castaneiventris
Stilpnia nigrocincta
Tangara mexicana
Tersina viridis
Thraupis episcopus
Thraupis palmarum
Tyrannus melancholicus
Tyrannus savana
Anthracothorax nigricollis
Ardea alba
Athene cunicularia
Chaetura brachyura
Leptotila rufaxilla
Momotus momota
Panyptila cayennensis
Vanellus chilensis
Campephilus melanoleucos
Claravis pretiosa
Cotinga cayana
Crotophaga ani
Deroptyus accipitrinus
Falco rufigularis
Ictinia plumbea
Megaceryle torquata
Megascops choliba
Odontophorus gujanensis
Ortalis guttata
Patagioenas subvinacea
Phimosus infuscatus
Pionites melanocephalus
Psarocolius bifasciatus
Pteroglossus pluricinctus
Ramphastos tucanus
Rupicola rupicola
Thalurania furcata
Tityra cayana
Nyctibius griseus
Penelope jacquacu
Amazona kawalli
Brotogeris cyanoptera
Bucco tamatia
Celeus undatus
Coereba flaveola
Euphonia rufiventris
Tachycineta albiventer
Celeus elegans
Ceratopipra erythrocephala
Dacnis cayana
Galbula albirostris
Myrmothera campanisona
Myrmotherula brachyura
Phaethornis ruber
Picumnus pumilus
Todirostrum chrysocrotaphum
Tyranneutes stolzmanni
Cymbilaimus lineatus
Heliodoxa aurescens
Lophotriccus vitiosus
Myrmotherula axillaris
Pharomachrus pavoninus
Piaya cayana
Piculus flavigula
Thamnomanes caesius
Cacicus haemorrhous
Capito auratus
Willisornis poecilinotus
Pygochelidon melanoleuca
Pyrilia barrabandi
Pyrrhura melanura
Tringa solitaria
Campylopterus largipennis
Manacus manacus
Pheugopedius coraya
Platyrinchus platyrhynchos
Hypocnemis flavescens
Thamnophilus murinus
Xiphorhynchus guttatus
Lepidothrix coronata
Euphonia xanthogaster
Galbula dea
Saltator grossus
Chlorophanes spiza
Dacnis lineata
Elanoides forficatus
Pteroglossus inscriptus
Tangara callophrys
Galbula leucogastra
Myrmoborus myotherinus
Pteroglossus azara
Saltator maximus
Tangara chilensis
Turdus lawrencii
Dacnis flaviventer
Florisuga mellivora
Piranga rubra
Topaza pyra
Chloroceryle aenea
Chloroceryle amazona
Chloroceryle americana
Columbina minuta
Cyanocorax heilprini
Heterocercus flavivertex
Myrmotherula cherriei
Thamnophilus nigrocinereus
Cyanerpes caeruleus
Hypocnemis hypoxantha
Lipaugus vociferans
Pseudopipra pipra
Sittasomus griseicapillus
Glyphorynchus spirurus
Ixothraupis xanthogastra
Tangara velia
Thamnophilus schistaceus
Trogon viridis
Ara macao
Crypturellus variegatus
Dendrocincla merula
Formicarius colma
Gymnopithys leucaspis
Neopipo cinnamomea
Pithys albifrons
Rhegmatorhina cristata
Thamnophilus amazonicus
Campephilus rubricollis
Leistes militaris
Orthopsittaca manilatus
Psophia crepitans
Selenidera nattereri
Crypturellus soui
Eubucco richardsoni
Piaya melanogaster
Xenops tenuirostris
Myrmotherula ambigua
Sarcoramphus papa
Trogon melanurus
Xipholena punicea
Molothrus oryzivorus
Ochthornis littoralis
Corythopis torquatus
Notharchus ordii
Cyanerpes cyaneus
Dryobates affinis
Iodopleura isabellae
Notharchus tectus
Caryothraustes canadensis
Ramphastos vitellinus
Tinamus major
Megascops watsonii
Nyctiprogne leucopyga
Euphonia plumbea
Hylophylax naevius
Jacamerops aureus
Machaeropterus striolatus
Micrastur semitorquatus
Monasa morphoeus
Neoctantes niger
Notharchus hyperrhynchus
Trogon ramonianus
Cissopis leverianus
Euphonia minuta
Myiornis ecaudatus
Berlepschia rikeri
Dendrocolaptes certhia
Xiphorhynchus ocellatus
Attila citriniventris
Thamnomanes ardesiacus
Trogon rufus
Pionus menstruus
Coccyzus melacoryphus
Dichrozona cincta
Thamnophilus aethiops
Tinamus guttatus
Geotrygon montana
Trogon curucui
Patagioenas plumbea
Hemithraupis flavicollis
Spizaetus melanoleucus
Tachyphonus phoenicius
Megastictus margaritatus
Cyanerpes nitidus
Jacana jacana
Crotophaga major
Heliornis fulica
Heliothryx auritus
Hypocnemoides melanopogon
Chloroceryle inda
Myrmotherula multostriata
Cairina moschata
Forpus modestus
Buteo nitidus
Campylorhamphus procurvoides
Pseudastur albicollis
Bucco macrodactylus
Butorides striata
Nyctibius grandis
Leptodon cayanensis
Eurypyga helias
Patagioenas speciosa
Egretta caerulea
Nonnula rubecula
Phlegopsis erythroptera
Dacnis albiventris
Pandion haliaetus
Setophaga ruticilla
Tyrannus tyrannus
Herpetotheres cachinnans
Chordeiles nacunda
Streptoprocne zonaris
Crypturellus duidae
Ardea cocoi
Buteogallus urubitinga
Bucco capensis
Attila cinnamomeus
Dolichonyx oryzivorus
Egretta thula
Hoploxypterus cayanus
Malacoptila fusca
Phaetusa simplex
Synallaxis rutilans
Sporophila bouvronides
Nomonyx dominicus
Nycticorax nycticorax
Anhinga anhinga
Pteroglossus castanotis
Tigrisoma lineatum
Hylexetastes stresemanni
Coccycua minuta
Aramides cajaneus
Pulsatrix perspicillata
Nothocrax urumutum
Phyllaemulor bracteatus
Rynchops niger
Chrysuronia oenone
Pilherodius pileatus
Syrigma sibilatrix
Trogon collaris
